Index,followers,rt,text
90,1185603,168,here littl mondaymotiv take past stratospher cybermonday listen stori abou
91,1185603,71,thing go easi work usarmi disciplin respect ver
92,1185603,63,1bct1cd ironhors brigad test mettl ntcupdat
93,1185603,0,mrsilitski 101staasltdiv definit legendari
94,1185603,425,today jame marshal jimi hendrix would 75 year old dyk also serv usarmi 101st
95,1185603,71,armysmdc help usarmi soldier take career ultim height infin beyond
96,1185603,62,usarmi space week shine light soldier care satellit stori sandraierwin spacenewsinc
97,1185603,80,didyouknow space key compon usarmi multidomain battl capabl satellit commun p
98,1185603,126,roll fcoeteamsil leader ride wwii m16 halftrack troopthelin
99,1185603,318,deptofdefens ah64 apach take alli spirit vii 13nation train exercis grafenwoehr germani adayatt
100,1185603,255,deptofdefens jump right monday like usarmi paratroop conduct exercis serbia
101,1185603,177,usarmyreserv new hbo documentari chronicl canin fight alongsid us special oper forc downrang
102,1185603,105,usarmi soldier 28thexpeditionarycab stand format chang respons ceremoni
103,1185603,33,usacehq readi support center learn
104,1185603,72,fortriley soldier nativeamerican tribe partner togeth protect sacr site read
105,1185603,240,dont support soldier ground noth say command usarmi aviat find mo
106,1185603,91,dogfac soldier usarmi soldier climb cargo net challeng fort stewart georgia marneweek
107,1185603,88,foreign militari sale fundament tool us foreign polici learn militari sale read
108,1185603,84,armyresearchlab scientist studi thunderstorm improv battlefield mission
109,1185603,149,job think like bad guy usarmi offer 35f intellig analyst uniqu opportun
110,1185603,97,whether deploy home thanksgiv want know celebr post favorit photo
111,1185603,46,usarmyafrica must set theater longterm strateg success learn ausa2017
112,1185603,83,like chemistri armyresearchlab mit research test new method creat combat helmet
113,1185603,59,know answer usnew rank westpointusma public liber art colleg nationwid 4
114,1185603,84,specif strike northern helmand drug enterpris hit taliban hurt
115,1185603,57,armymedicin armi begin provid medic care chembio research volunt
116,1185603,159,three usarmi soldier receiv award help rescu north korean defector last week read tens
117,1185603,73,think everybodi realiz import serv peopl go everyth
118,1185603,60,cjtfoir iraqi energi polic traine particip room clear train besmaya rang complex iraq coalit dedica
119,1185603,51,heard next gener tactic unman aircraft system technolog demonstr scienc
120,1185603,301,happythanksgiv tag someon thank us armi graphic
121,1185603,104,throwbackthursday us presid first establish thanksgiv legal nation holiday
122,1185603,364,alway think usarmi soldier 187000 soldier spend thanksgiv holiday deploy
123,1185603,257,secarmi behalf usarmi happythanksgiv soldier civilian famili worldwid thank continu
124,1185603,117,make sacrific usarmi soldier famili make ultim sacrific read
125,1185603,208,usarmyreserv soldier assign 200thmpc take moment give thank pray annual thank
126,1185603,134,thanksgivingev prepar thanksgiv usarmi soldier
127,1185603,221,defin holiday 3id sustain brigad soldier plan month bring
128,1185603,176,greater love documentari film activeduti usarmi chaplain deliv remark wartim footag ex
129,1185603,102,fortben gear year thanksgiv feast
130,1185603,63,goarmi sleep nutrit activ performtriad usarmi reach goal armyteam
131,1185603,244,fill blank im thank thanksgivingev usarmi
132,1185603,93,10mtndiv soldier defend homeland domest respons train exercis vigil shield 18 find
133,1185603,99,3rdinfantri mascot compet obstacl cours group dogfac soldier marn week nov 13
134,1185603,90,world champion pole vaulter usarmyreserv soldier olymp medalist usa track amp field top athlet 2017
135,1185603,107,messag forc 23rd secarmi read
136,1185603,33,usarmyoldguard soldier particip pro vs gi joe event host redskinssalut partner
137,1185603,11,secarmi dr mark esper new secretari usarmi follow secarmi read initi messag
138,1185603,51,usarmyreserv soldier usarmi usarmyreserv compet prestigi german arm forc badg militari pr
139,1185603,87,usarmyoldguard serv nation sinc 1784 america regiment
140,1185603,196,peopl probabl never experi eat cold turkey sit chinook ramp say
141,1185603,138,tuesdaythought selfless servic selfless servic core usarmi valu larger one person
142,1185603,29,new home arcyb get upgrad watch wrdwwagt news cast
143,1185603,217,armychiefstaff happi 100th birthday usarmi 3rdinfantri divis dogfacesoldi rotm
144,1185603,74,usarmi soldier 173rdabnbd take sky serbian troop exercis winter 2017 read
145,1185603,135,wwi battl cambrai 100 year ago today american troop fought cambrai franc first time wwi
146,1185603,57,didyouknow usarmi soldier play integr role protect homeland congress author major buildup
147,1185603,55,great back serbia american paratroop work american serbian brother
148,1185603,36,sneak peek artifact head new usarmi museum
149,1185603,56,usacehq work tirelessli help restor puertorico help save environ
150,1185603,117,soldier left behind usarmi past conflict repatri branch ensur soldier left beh
151,1185603,78,import alli spirit bring nato partner togeth cohes exercis test
152,1185603,205,american retir usarmi lt col robert friend 97 yearold one l
153,1185603,50,icymi armychiefstaff deliv state armi speech ausa2017 watch full speech
154,1185603,119,largest veteran day parad west mississippi river oregonguard soldier assign 41ibct greet spec
155,1185603,87,2017 usarmi receiv eight award across feder govern take step conserv energi wa
156,1185603,104,rdecom soldier take moment pay honor respect servic veteran day novemb 11 2017
157,1185603,170,didyouknow us forc world war use nativ american languag encrypt american commun pl
158,1185603,290,home brave 2017in4word soldier marin sailor airmen
159,1185603,0,nalutik hooah
160,1185603,1,stfortston thank servic
161,1185603,460,defend 2017in4word soldiersaturday usarmi
162,1185603,68,hey soldier drop us pic furri battl buddi make sure use soldiersaturday
163,1185603,121,usarmyreserv soldier conduct night fire qualif usarmi oper coldsteel ii fort hunter lig
164,1185603,121,men tundra alaska eskimo war 75 year ago 6300 alaskan nativ join usarmi
165,1185603,51,autumn arlingtonnatl cemeteri inspir beauti fridayfeel
166,1185603,58,malcolmfrost armi navi 7thtbx action ft eusti va build mobil pier piec piec prepar
167,1185603,113,place sexual harass sexual assault retali usarmi pleas visit
168,1185603,82,reduct access standard chang reduc qualiti gain quantiti say
169,1185603,33,usarmyeurop year execut learn usarmi rotat forc action
170,1185603,131,1stcav3bct first greywolf vehicl return forthood ninemonth deploy usarmycentr centcom ao
171,1185603,245,3rdinfantri divis home usarmi decor american soldier wwii audi murphi jan 26
172,1185603,74,brookearmym open door victim texa shoot walk cri
173,1185603,58,there pool blood next head he clearli badli injur say armyrotc cadet mark kindschuh ki
174,1185603,136,armychiefstaff month reflect amp celebr tremend contribut nativeamerican nation vital member
175,1185603,82,continu depriv isi remnant resourc safe haven continu defeatisi mission
176,1185603,113,tbt left right lt col keith l ware 1st lt john j tominac tech sgt russel e dunham staff sg
177,1185603,69,first time ever usarmi sensor detect aircraft damag real time say armyresearchlab fi
178,1185603,61,usarmi somewher get feet plant transfer kid school adult life
179,1185603,115,westpointusma grad dr mark esper confirm new secarmi
