Index,followers,rt,text
96,10162,0,wendycnc kick celebr presid higher educ honor roll winner congrat thank inspir us picscc
97,10162,0,havent work nationalservic yet interfaith servic wait picscc
98,10162,1,cant believ ittim last plenari picscc potu administr live
99,10162,2,settl close plenari vision picscc commun go share us
100,10162,0,wow plenari give follow johnking dmogah eboopatel ifyc chrisdstedman gucsj thank share us
101,10162,3,saralaugh goal interfaith work creat space ident ident other rabbi daniel roth p
102,10162,8,katieraegordon interfaith servic civic engag campus opportun bring togeth spiritu scholar
103,10162,3,leahsiskin chrisdstedman said take youv learn divers gather like picscc take back less divers area
104,10162,14,melodyfoxahm social justic work everyon matter liber conserv injustic affect us andria wi
105,10162,3,ljelte06 say social justic room amp one disagre social justic mean your divers room pic
106,10162,3,emmagracebw interfaith methodolog allow us move beyond disagr relationship varon soni picscc
107,10162,1,without understand side thrown stone fear go overcom picscc
108,10162,5,panelist interfaith leader speak intersect interfaith academi picscc
109,10162,2,eboopatel remind us potu young interfaith leader 80 bring togeth commun leader common good picscc
110,10162,2,dialogu convers laid brick build cathedr healthi religi divers democraci eboopatel picscc
111,10162,2,hartsem picscc eboo patel easi build healthi religi divers democraci ifyc
112,10162,1,sreynolds05 colleg univers hub nurtur skill build healthi religi divers democraci picscc eboo
113,10162,7,colleg mini cathedr healthi religi divers democraciesprepar leader build reflect nation eboopatel picscc
114,10162,5,divers isnt differ like also differ dont like eboopatel picscc
115,10162,11,work educ deepli shape servic undergrad commit servic give back johnking picscc
116,10162,1,folk could given didnt believ deepli ppl get better make decis chang live picscc
117,10162,6,public school teacher save johnking life open world beyond brooklyn picscc
118,10162,0,work deepli import event celebr work movement forward build upon johnking picscc
119,10162,2,servic colleg deepen learn servic way meaning engag divers amp build bridg understand picscc
120,10162,3,johnking first ever picscc thank join us secretari king
121,10162,1,good morn readi anoth day picscc join us second plenari onlin via link
122,10162,1,met intern particip hope look campu iheilf picscc
123,10162,0,welcom back campu let catch highlight breakout session yesterday tweet picscc repli back
124,10162,0,morn picscc remind shuttl nomagallaudet metro station elstad auditorium return shuttl later
125,10162,1,breakout happen across campu learn
126,10162,0,here campu map head first breakout session take note share picscc tweet
127,10162,1,shoutout plenari speaker give follow gallaudetu peacecorpsdir marthakant guberkleycent thank share wu
128,10162,1,glad friend marthakant edundersec picscc start 2011
129,10162,3,picscc cant let angri voic one peopl hear
130,10162,2,must answer question picscc
131,10162,3,peopl invit ppl maintain sens self reach folk commun diff self picscc
132,10162,0,
133,10162,6,know whitehous liaison jewish muslim commun meet zaki channon picscc
134,10162,2,repres choic make togeth move forward recognit variou differ build bridg picscc
135,10162,0,6 year ago presid interfaith advisori council advis potu creat initi picscc
136,10162,0,picscc wind beneath wing
137,10162,0,melissa roger whitehous us last 6 year amp sat us think futur amp built thank picscc
138,10162,0,
139,10162,0,beauti danc gallaudet danc compani picscc
140,10162,2,interfaith servic illumin pathway common ground creat fearless action human peacecorpsdir picscc
141,10162,3,hartsem faithbas organ uniqu qualifi lift margin picscc
142,10162,2,weve seen campus develop countri interfaith cooper build broken peacecorpsdir picscc
143,10162,0,there take action piec go click countri amp see projectlearn issu volunt eye
144,10162,2,35 countri 2800 volunt implement 280 distinct amp differ project 34000 girl 25 impact letgirlslearn picscc
145,10162,0,challeng commun base chang global that peacecorp came play becam ground troop picscc
146,10162,3,excit kickoff picscc flotu chief staff tina tchen peacecorpsdir learn letgirlslearn
147,10162,6,excit welcom gallaudetu sixth annual campu challeng gather join us onlin picscc
148,10162,2,grate work move gallaudetu roll sleev learn amp collabor melissarog picscc
149,10162,2,hope weve built someth endur amp continu foster notion much unit us cecilia44 picscc
